04-12 19:29:47 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 000776, price = 17.48, amount = 10
04-12 19:29:46 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 000776, price = 17.18, amount = 10
04-12 19:29:47 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 000776, price = 16.88, amount = 10
04-12 19:29:47 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 000776, price = 16.58, amount = 10
04-12 19:29:47 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 000776, price = 17.18, amount = 10
04-12 19:29:47 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 000776, price = 16.88, amount = 10
04-12 19:29:47 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 000776, price = 16.28, amount = 10
04-12 19:29:47 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - buy code = 000776, price = 16.88, amount = 10
04-12 19:29:47 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 000776, price = 16.58, amount = 10
04-12 19:29:47 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 000776, price = 17.18, amount = 10
04-12 19:29:47 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - buy code = 000776, price = 16.88, amount = 10
04-12 19:29:48 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 000776, price = 17.78, amount = 10
04-12 19:29:48 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 000776, price = 17.18, amount = 10
04-12 19:34:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - buy code = 000776, price = 16.98, amount = 10
04-12 19:34:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 000776, price = 17.58, amount = 10
04-12 19:34:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 000776, price = 16.68, amount = 10
04-12 19:34:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 000776, price = 17.28, amount = 10
04-12 19:34:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 000776, price = 17.28, amount = 10
04-12 19:34:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 000776, price = 17.88, amount = 10
04-12 19:34:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 000776, price = 18.18, amount = 10
04-12 19:34:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - buy code = 000776, price = 17.58, amount = 10
04-12 19:34:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 000776, price = 17.88, amount = 10
